fixed acidity,citric acid,residual sugar,free sulfur dioxide,total sulfur dioxide,density,volatile acidity,chlorides,sulphates,pH,alcohol,quality_label,type
9.286309561894464,0.537261912378893,2.42103187298155,6.37896812701845,16.62103187298155,0.9957254367339071,0.337896812701845,0.07658928685683394,0.8328373307857565,3.172738087621107,12.00317450161476,2,red
5.57952775409855,0.0459055508197101,1.481888983605798,15.27555934423192,87.79527754098551,0.9920724440655768,0.7762999147547818,0.0447952775409855,0.82,3.54771665245913,13.125194704915945,2,red
10.04744756810663,0.4864965045404421,2.3514085973739545,5.310739253282557,14.757042986869774,0.9965660919233036,0.3717517477297789,0.06937852149343489,0.6624295701313023,3.2121478506565113,11.21751747729779,2,red
9.330844540075537,0.5521414250085839,2.774852560027468,6.282908699690985,17.37721159958798,0.9963471903760577,0.3025147439972532,0.07924557680082404,0.9149705120054936,3.152514743997253,11.687426280013733,2,red
7.585678400422335,0.3241381920549036,1.8928392002111676,15.978768797677157,23.350125598521828,0.9943951746324667,0.35442964798732995,0.074557035201267,0.7204246240464568,3.231644471980995,11.427851760063351,2,red
7.69484370185546,0.3312075872223768,2.3534597870396134,10.051562981445409,20.516965111049274,0.9930446006094322,0.4931071318526764,0.07013839148158454,0.7317232170368309,3.2087924127776235,12.572455233342609,2,red
7.487800984721844,0.34644577055553394,1.7740059674999025,3.164457705555339,13.246686558333009,0.9960986746233332,0.3316445770555534,0.06174005967499903,1.0629970162500488,3.2234216917777863,10.08222885277767,2,red
12.599106318893819,0.7199321464345306,2.199966900699771,6.001489468510302,29.0,0.9986993413239255,0.3100115847550801,0.07199735205598168,0.8199900702099313,2.8800579237754005,9.800248244751717,2,red
11.950756778586165,0.6707056072630235,2.1759539547624507,7.082072035689727,29.0,0.9982214836997728,0.31841611583314233,0.07007631638099604,0.8127861864287351,2.9220805791657116,9.980345339281621,2,red
9.214982245516229,0.5229964491032458,2.1832741517207626,6.616725848279238,16.383274151720762,0.995302227990063,0.36167258482792375,0.07444946736548685,0.7781530548957754,3.1870035508967542,12.19338067862339,2,red
7.394284350253535,0.23876240490703712,2.0971421751267676,21.15233775802861,34.18091600676094,0.9945419060122677,0.44152337758028615,0.05891426525380303,0.7535238549915488,3.3044756675971882,11.753330150591582,2,red
9.779486267939873,0.46863241786265825,2.2493281020723326,5.438339872409584,14.246640510361663,0.9963057866602845,0.3806837910686709,0.06912332025518084,0.6675335948963833,3.237667974481917,11.306837910686708,2,red
9.113821212921227,0.5027642425842455,1.8460707097374243,6.953929290262575,16.046070709737425,0.9947020058633326,0.3953929290262576,0.07141463638763682,0.7005962632396076,3.2072357574157544,12.46314343221006,2,red
7.456158426261856,0.3648910913418264,2.5855049743128147,15.0,31.927524871564074,0.9956641267710794,0.3690217817316347,0.06405069339680121,0.796594060894551,3.2739128730734612,11.848910913418266,2,red
7.748509513448106,0.10887984506902781,2.2742547567240528,32.36946792585669,43.62692035861616,0.9942171996126725,0.5536946792585669,0.06422764270172159,0.7417163495517298,3.4402619801551073,12.579855531378913,2,red
8.713381065413119,0.41409347640028765,1.9417263317663978,6.0,12.708631658831989,0.9953357406513904,0.4029928401880323,0.06970071598119677,0.7225970563062715,3.3216547336467204,11.7,2,red
8.63113647284376,0.44723334935041814,2.6462272945687517,7.025151369541653,17.0,0.9943240684766781,0.4230181643449985,0.07794969726091669,0.8174848630458347,3.1756287842385413,12.417605958679157,2,red
9.31478387009718,0.4376522580064787,2.0722986171798783,5.6596267285251525,13.36149308589939,0.9958543614738087,0.39617387099676066,0.0686807465429497,0.676385069141006,3.2819253457050306,11.461738709967607,2,red
8.826638745467191,0.42295078545526815,2.1182785345487067,3.929507854552681,14.394261781829021,0.9965577047127316,0.3392950785455268,0.06518278534548706,0.8908607327256468,3.1928196858178928,10.464753927276341,2,red
7.060676878342543,0.31038153048714895,2.7971691879798235,13.905230710881577,55.61107791501318,0.9955118768277732,0.5324615481864037,0.06595753781969735,0.8454030761450877,3.42663385023829,12.836492309637281,2,red
9.608009147009817,0.5551997889151582,2.7679985927677206,5.839992963838603,16.839992963838604,0.9965280056289291,0.30800035180806984,0.07839992963838603,0.8767981002364229,3.15,11.587995074687022,2,red
12.044051046393239,0.6750964306702232,2.1572346958764035,7.1760458633989135,28.465433698455037,0.9982178211960064,0.3153456630154496,0.07221382652061797,0.8071704087629209,2.9184887737112373,9.971061216494387,2,red
7.591636045252368,0.393922009696936,2.895168103433984,15.0,33.47584051716992,0.9961634585667873,0.36321559806061277,0.06830856142221728,0.8159480064646241,3.297137607757549,12.13922009696936,2,red
10.6381388285124,0.5258022776490557,2.5977906724468713,5.066279826593857,16.022093275531287,0.9970928476136732,0.35419772235094427,0.07013255965318772,0.65154652928719,3.151104663776564,11.0463958786157,2,red
5.537154715826614,0.03743094316532278,1.6513811366935442,22.055245467741777,87.37154715826614,0.9913944754532258,0.62375697697581,0.044371547158266134,0.82,3.5222928294959686,13.591298125907247,2,red
7.848450504483671,0.3577907359064431,1.746317893177405,4.3895367953221545,12.536821068225949,0.9956109296973098,0.3716861038596646,0.06424225252241836,0.910096637972639,3.285581471812886,10.787404184015887,2,red
5.149180444262072,0.1773442134099298,1.9403278222951712,21.685247996717294,61.03935287539332,0.9914314752003283,0.44088526219669005,0.0552262257836137,0.7638688710819315,3.6543606045246886,14.0,2,red
7.2736975065188805,0.41248739704625986,3.254453796700072,15.863865508249821,39.80756290181192,0.9960905882884502,0.36511764639437183,0.0741126052128758,0.8340840347525054,3.4299075595131088,13.059159652474946,2,red
8.728425807881148,0.39856172052540995,1.8489241172880568,5.938844853389929,12.244620586440284,0.9952847564990845,0.415719139737295,0.06812231029322015,0.6875537941355971,3.337768970677986,11.65719139737295,2,red
10.7,0.53,2.6,5.0,16.0,0.9972,0.35,0.07,0.65,3.15,11.0,2,red
9.235114901958571,0.5270229803917144,2.250383006528573,6.549616993471427,16.450383006528572,0.9954216817516208,0.3549616993471427,0.07505344705875716,0.7935880915015718,3.1829770196082854,12.13969359477714,2,red
6.271625775927569,0.3364681623117466,2.701586634994521,17.246033412513697,44.29960859066952,0.9941555532224808,0.3893055847189897,0.06789284964368836,0.792618997624589,3.5577580906575172,13.47381002375411,2,red
9.898996370609773,0.5285529220024409,1.8977554749024392,41.685766486341514,74.29178826268289,0.9944267281188806,0.2651624077243894,0.08212463521195136,0.6342645976853651,2.991671530507315,11.849379552146335,2,red
5.080897715908201,0.21438238996240283,1.9191022840917982,18.056193314404315,55.12352200751944,0.9917943806685596,0.4779766964008778,0.057977557102294956,0.7507863621210935,3.698427275757813,13.851687520834965,2,red
5.597128200645748,0.04942564012914958,1.4114871974170082,12.459487896680336,87.97128200645749,0.9923540512103319,0.8396615223246924,0.044971282006457475,0.82,3.5582769203874487,12.931589792896773,2,red
9.671461459602916,0.460206313330198,2.563266480700104,6.102005578996874,16.367335192998958,0.995418424313955,0.419793686669802,0.07220401115799376,0.6757134635099271,3.168366759649948,11.771403905297811,2,red
5.7267270511117285,0.0359146187246538,1.849288489372115,28.59146187246538,82.85976689274234,0.991132204418368,0.49788615829953836,0.046070116553628825,0.8121138417004615,3.496056920850231,13.871849927632502,2,red
8.243006324927748,0.385734176657033,2.2999129771254805,7.7141613958935435,16.714161395893544,0.9929988536313216,0.49998259542509615,0.07457080697946772,0.7114248418768063,3.202858386041065,12.928496837536127,2,red
5.429835223444638,0.05946920615325235,1.828065910622145,26.73703402200347,81.80780653490316,0.9909262965977996,0.4801769312822492,0.046245272849771604,0.8087736357511419,3.53087250168436,14.0,2,red
5.586260571188745,0.04725211423774918,1.4549577152450164,14.198308609800657,87.86260571188745,0.9921801691390199,0.8005380562794852,0.04486260571188746,0.82,3.5517563427132477,13.051133716923795,2,red
5.835704420426187,0.06804650098163453,1.807460098231693,29.044413752437027,86.0301872298799,0.9910767696443958,0.472841774067106,0.046909438310360284,0.8058258133597832,3.4612074891951963,13.835877838902753,2,red
5.699340360368108,0.2622517387389852,2.0,17.728472072057986,43.32447837830443,0.9926600035855963,0.40728472072057986,0.05872847207205798,0.74635763963971,3.5642378288271033,13.141718648639142,2,red
9.89116131892813,0.5701493495577263,3.006888117766089,11.187137899924856,33.61078924437765,0.997893111882234,0.3330539462218882,0.07545809193328323,0.8430539462218882,3.150883868107187,11.52904596664162,2,red
9.239341957849648,0.5278683915699296,2.2644731928321584,6.535526807167841,16.46447319283216,0.9954467622832411,0.35355268071678414,0.07518025873548942,0.7968288343513965,3.1821316084300704,12.128421445734272,2,red
9.268087588159867,0.5336175176319736,2.3602919605328925,6.439708039467107,16.560291960532894,0.9956173196897485,0.34397080394671076,0.07604262764479604,0.8188671509225653,3.1763824823680262,12.051766431573686,2,red
9.699753272020082,0.46331688480133887,2.218953627436222,5.476307965704723,14.09476813718111,0.9962283317499624,0.38334155759933053,0.06904738406859057,0.6690523186281889,3.2452615931409445,11.333415575993305,2,red
7.49153124421127,0.08439147716747764,2.1738082362682465,30.9153124421127,51.029162044961545,0.9939218228646609,0.6092596598276565,0.06219573858373882,0.7512170456650447,3.4740213070813057,12.72804261416261,2,red
8.589952554553586,0.4753132216124203,2.3949762772767924,4.895389847118525,15.5271864628247,0.9962527186462824,0.31104610152881473,0.07300413569841732,0.9862766091728885,3.179456270743506,11.074054246700497,2,red
5.639757043230569,0.05708712509762326,1.4380284761335882,12.051857012909439,87.11843078053954,0.992484699787752,0.8413571645150936,0.04557042714200382,0.8206914268387925,3.5563700090963395,12.89827143290302,2,red
6.360990024257402,0.13474661633775614,1.4864761391201593,17.18856834720956,85.57866810463554,0.992764929307087,0.747958155838212,0.05157218657313211,0.7871390671343395,3.4596876786206154,12.70975249393565,2,red
7.688529751008338,0.3509369893289288,1.7348949822148814,4.046849466446439,12.651050177851188,0.995706882149395,0.3614054839933932,0.06344264875504169,0.9569305729189868,3.2718739786578577,10.593214697652982,2,red
8.640765032908098,0.39866256949297096,1.8509562911351232,6.0,12.254781455675616,0.9952231858010075,0.4138852450637852,0.06861147549362148,0.7017199469610783,3.3398087417729756,11.7,2,red
5.460960301275038,0.04639667346448424,1.815615879489985,27.297285422950676,84.11106229435278,0.9908702714577049,0.4845344421785052,0.0452492703591988,0.813753648204006,3.5171774674389833,14.0,2,red
5.840654139027004,0.30377376227101405,2.46380918015283,17.840477049617927,46.23155041125826,0.9933233321305349,0.3997083483683137,0.06521785327671933,0.7747856885114622,3.612744127089658,13.652143114885378,2,red
10.647050989208202,0.5290072060476538,2.5735254946041017,5.066186263489746,16.0,0.9971146197200982,0.35165465658724365,0.07003309313174488,0.651323725269795,3.1519855879046923,11.049639697617309,2,red
7.453776018301376,0.3643805753502949,2.580059470403145,15.0,31.900297352015727,0.9956553458960251,0.369123884929941,0.06397581771804325,0.7962537169001965,3.273504460280236,11.843805753502949,2,red
6.848357032912984,0.2862089258228246,1.8459702472572515,17.459702472572513,29.976132143442673,0.9936176704216473,0.3737910741771754,0.0707820826919924,0.7091940494514503,3.3503285934174034,11.997613214344268,2,red
9.516467881260256,0.5494216274739716,3.1184989289863063,11.904635972054827,34.24856530849318,0.9977815010710137,0.3362428265424659,0.07593642398136988,0.8462428265424659,3.188353211873974,11.768211990684943,2,red
9.22908461799594,0.525816923599188,2.2302820599864654,6.569717940013534,16.430282059986467,0.9953859020667759,0.3569717940013534,0.07487253853987819,0.7889648737968871,3.184183076400812,12.155774352010827,2,red
9.251512754772113,0.5028408641519772,1.8757563773860566,6.810609056534858,16.0,0.99486431431707,0.3952652264133715,0.07090530452826742,0.6862121811306972,3.204318271696046,12.357956792401144,2,red
7.345572000902456,0.3265422728298245,2.0529352730554384,14.404478178126318,28.205970904168424,0.9948311640734164,0.37470647269445617,0.057588058191663155,0.7705870546110877,3.2247064726944563,11.32646763652772,2,red
10.049376556134547,0.5263415533361415,2.10553246504202,10.251039073109089,29.0,0.9968200960543362,0.34306363723529293,0.06444259720336162,0.791659739512606,3.0453181861764644,10.508506512184848,2,red
7.643633708986176,0.40506436621132325,3.0140199062541146,15.0,34.07009953127057,0.9963551070988348,0.36098712675773537,0.06994277371099408,0.8233762441408822,3.3060514929690585,12.250643662113234,2,red
9.44704482702786,0.5589143501455109,2.792762334303406,5.963811671517031,16.963811671517032,0.9964289506627864,0.30180941642414844,0.0796381167151703,0.9102291513095984,3.15,11.67466817006192,2,red
9.977914402963902,0.4887379658836516,2.414320846476432,4.587379658836516,15.381069488254774,0.9969524277953019,0.34587379658836515,0.06814320846476432,0.7428395767617839,3.1665048136465392,10.793689829418257,2,red
7.751169289053385,0.11563612324697314,2.2389616113167303,31.92469478476884,42.43638767530268,0.9941724415355473,0.5443638767530268,0.06609869099629885,0.7351169289053384,3.4331431089793614,12.541300189423499,2,red
12.208012686301888,0.6902380002562545,2.1854819513445145,6.653312189496852,29.0,0.9984110908317558,0.31508131702941994,0.07083855610756115,0.8156445854033543,2.9054065851471,9.908885364916143,2,red
8.26466925439829,0.18504598385419593,2.2155146810184925,35.68970637963015,51.12518562615929,0.9942418125211343,0.5045238777893317,0.06880183935416784,0.7167665372800854,3.358617617222191,12.509908032291607,2,red
10.564291770344287,0.5274554706939554,2.532145885172144,5.1696352870696405,16.0,0.9969811704796802,0.354240882176741,0.07008481764353483,0.6533927057413929,3.155089058612089,11.12722646530223,2,red
9.183538816575421,0.42709727683904647,2.545840672020551,6.624779839383477,16.541593279794494,0.9945732725929967,0.45290272316095354,0.07324955967876695,0.6879115295856144,3.1770796639897245,12.137345887568433,2,red
8.783957883971535,0.4578610511962047,1.9843579010166046,7.2633684300237205,16.26336843002372,0.994022153663846,0.43687158020332095,0.0723168421501186,0.6979010529007116,3.2073663156997627,12.658021058014233,2,red
7.597528754705303,0.34703694663022727,1.7283949110503787,3.851847331511364,12.716050889496213,0.9957614827471768,0.3555554199453409,0.06298764377352652,0.983580864693447,3.2640738932604547,10.48271348785644,2,red
10.08390277193794,0.5289629882397324,2.1068112137754795,10.193495380103434,29.0,0.9968455431541321,0.3426160751785823,0.06454489710203834,0.7920433641326438,3.0430803758929112,10.498915896683906,2,red
10.7,0.53,2.6,5.0,16.0,0.9972,0.35,0.07,0.65,3.15,11.0,2,red
9.35431584595473,0.5532996574066936,2.7908631691909456,6.060912205393695,17.0,0.9962766527840777,0.3073094646472434,0.0798781755892126,0.9139087794606305,3.1515228051348423,11.742638543775586,2,red
5.51794411582305,0.033588823164610045,1.7282235367077992,25.128941468311965,87.1794411582305,0.9910871058531688,0.5545988169629807,0.0441794411582305,0.82,3.5107664694938303,13.802614725946448,2,red
10.067144080100382,0.48780960534002554,2.3589120305144315,5.301359961856961,14.794560152572158,0.9965852256778118,0.3710951973299872,0.06939728007628608,0.6620543984742784,3.2102719923713923,11.210951973299872,2,red
11.975323316609146,0.6887661658304572,2.3171268781357854,6.0,26.6574624372843,0.9982510136338129,0.3080478853644036,0.07356169170847714,0.8395211463559642,2.932707095161103,10.17090178076332,2,red
5.090114654486674,0.20215184511559675,1.9639541382053303,20.62206378076014,56.668484432013905,0.991537793621924,0.4326160516281344,0.05711633105642642,0.7544183447178678,3.6803495520258633,14.0,2,red
5.700613918155119,0.20246711152740432,2.0750657769451912,22.75328884725957,48.74890371758014,0.9923180415635154,0.45753288847259566,0.061251096282419856,0.74,3.6549429933141675,13.674714966570837,2,red
7.782458519510866,0.08968106399110667,2.2928239397999,33.82458519510867,45.34285620956033,0.9941558870816065,0.5722325520622533,0.06484053199555334,0.7406378720177866,3.4607973400222334,12.701594680044465,2,red
7.293096575553888,0.31398985323802375,2.0664975539670625,14.069034244461122,27.404058704790494,0.9944048015941962,0.4012792172694601,0.05865990215868251,0.754680195682635,3.2260101467619764,11.539391194281427,2,red
9.703533885818132,0.4730590791896076,2.343765856353234,4.430590791896076,15.145886187844113,0.9968583544751376,0.34430590791896076,0.06743765856353234,0.778117071823383,3.1727763683241568,10.715295395948038,2,red
7.958567059506128,0.34397419332363016,2.5020916806966476,7.937249579100577,16.979083193033524,0.9924514465137874,0.5360258066763699,0.07587449915820116,0.7185358235123468,3.1989541596516764,13.056074705370403,2,red
7.292518605448894,0.3053740697275553,1.907481394551106,15.92518605448894,26.68703486377765,0.9944748256955604,0.3707481394551106,0.06432667449040046,0.7322444183653318,3.2346259302724447,11.346259302724448,2,red
5.159953733944392,0.1893479842509424,1.8400462660556074,17.13387310398209,60.13040314981152,0.9918866126896018,0.5346335093268146,0.05600115665139019,0.761327164525919,3.6773456709481622,13.706751487768614,2,red
10.660593040872687,0.5292611195163629,2.5802965204363444,5.0492586989091395,16.0,0.9971364562784072,0.3512314674727285,0.07002462934945458,0.6509851739781828,3.151477760967274,11.036944024181855,2,red
7.673742446952999,0.3218993957562399,2.1832394257341976,12.072635954846033,20.167605742658026,0.9931826277952129,0.45854728090307934,0.075094969787812,0.7109496978781199,3.2181006042437605,12.330724319640193,2,red
6.6776998272874435,0.2819424956821861,1.8601916810593797,17.601916810593796,31.824918537719363,0.9934406135708107,0.3780575043178139,0.06978658232584342,0.712038336211876,3.3844600345425113,12.182491853771936,2,red
10.673889746984274,0.5306025443003629,2.604016962002419,5.020084810012096,16.020084810012097,0.9971839321519903,0.3489957594993952,0.07020084810012096,0.655422898703266,3.15,11.014059367008468,2,red
10.10225854925751,0.5182593443631065,2.0078660422505776,11.283683838109113,26.59832552813222,0.9965336896263753,0.33401674471867776,0.0729606697887471,0.7623598126751733,3.05292056197448,10.56853583099769,2,red
7.9116008120838845,0.36650810557090496,2.0558004060419424,14.186195533538635,22.209397157706405,0.9947553188973527,0.34465197563748345,0.07553480243625166,0.7562760893292273,3.2169779634562254,11.476740121812583,2,red
7.383742499290759,0.33787467854103254,1.7131244642350543,3.3937339270516262,12.868755357649459,0.9958897545004255,0.3418120178115488,0.061918712496453795,1.0461896966362778,3.2457493570820652,10.22311589199592,2,red
10.7,0.53,2.6,5.0,16.0,0.9972,0.35,0.07,0.65,3.15,11.0,2,red
7.207817897781669,0.3096091051109166,1.9921821022183317,15.078178977816684,28.80455255545829,0.9946992825708786,0.37921821022183316,0.056703610800350156,0.7576546306654995,3.2303908948890836,11.303908948890834,2,red
9.371459545473117,0.5542919090946236,2.7048651515770574,6.095134848422942,16.90486515157706,0.9962306599698071,0.30951348484229424,0.07914378636419352,0.8981189848627233,3.1557080909053763,11.776107878738353,2,red
9.255332097961253,0.5310664195922505,2.3177736598708423,6.4822263401291575,16.51777365987084,0.99554163711457,0.34822263401291575,0.07565996293883757,0.8090879417702938,3.178933580407749,12.085781072103325,2,red
6.758849424053106,0.3455309654431864,1.9648230115189378,27.090707350644287,58.44247723545491,0.9926884733763178,0.36371681843030057,0.06809070735064429,0.7013053126708316,3.4596902852401406,13.226106253416633,2,red
7.165039082533828,0.4042443441922214,3.194504321397974,16.013739196505064,40.29465238864147,0.9958807651248929,0.36774043593883865,0.0734381736157272,0.829587824104848,3.4437708756767185,13.10412175895152,2,red
5.937263244854302,0.10834299803639569,2.1279474336407262,25.631490757039202,77.89034906553539,0.9919842546214804,0.4644929773834991,0.05019456263543594,0.8272877207475716,3.4726710471966062,13.78136837757285,2,red
6.160633328557632,0.14993898465592573,1.9362579664464306,12.731260863336042,75.56856532328729,0.9935943927434489,0.728123189443993,0.053043869496696455,0.8297501448444805,3.508811739566477,12.8756246378888,2,red
8.013025468515027,0.3764585982008587,1.909063691903864,3.464585982008587,13.69687897301288,0.9962787515892051,0.3346458598200859,0.06309063691903864,0.9954681540480681,3.2114165607196563,10.232292991004293,2,red
7.588353745074939,0.40444566760031525,3.301903582245594,14.593504884880355,43.91041695703396,0.9966360579786379,0.4177491858532741,0.07352855373368392,0.854580065131738,3.3784546580583754,12.813549837170655,2,red
11.451632767897221,0.6328091545996039,2.15746788029249,7.9139453868379634,29.0,0.9978536108178205,0.3248862418976286,0.06859743042339918,0.8072403640877469,2.954431209488143,10.118990897806327,2,red
10.508557494361241,0.5344179039762791,2.629452693175194,5.147263465875968,16.14726346587597,0.9970821892272992,0.34263682670620155,0.07147263465875969,0.6897611357865114,3.15,11.103084426113178,2,red
9.772052152804392,0.4769744087316796,2.3613848392925583,4.469744087316796,15.204616130975195,0.9968818464523901,0.34469744087316795,0.06761384839292559,0.7693075803537208,3.1712102365073283,10.734872043658399,2,red
9.701941012100379,0.46227456867824007,2.5643550361464422,6.069348915606736,16.35644963853558,0.9954712192531024,0.41772543132175993,0.07213869783121347,0.6749514746974905,3.167822481926779,11.748544240924716,2,red
6.266899255353604,0.2716724813838401,1.8944250620538663,17.944250620538664,36.275258067002625,0.9930144079774293,0.3883275186161599,0.06739024565622935,0.7188850124107733,3.4666201489292794,12.627525806700262,2,red
7.130102703498265,0.40159399819642005,3.175229077792146,16.061927305519635,40.45126374293881,0.9958133017722725,0.3685837278465936,0.07322132712516163,0.8281421808344109,3.4482282757605662,13.11857819165589,2,red
9.668770352044906,0.47107259154542314,2.3348266619544042,4.410725915454232,15.116088873181347,0.9968464355492725,0.3441072591545423,0.06734826661954404,0.7825866690227979,3.1735709633818305,10.705362957727116,2,red
11.862444211819955,0.664000393860404,2.1726831189562947,7.2292596469667405,29.0,0.9981563940672303,0.3195609083652969,0.06981464951650357,0.8118049356868884,2.927804541826484,10.004876607827791,2,red
9.917698469707393,0.5153318463070137,2.2088492348536968,5.977876912865758,16.0,0.9959385387824031,0.37444692282164393,0.07048893845643288,0.6695575382573151,3.179336307385973,11.733407684649318,2,red
8.756219814804492,0.42319671064595477,1.995274768505616,6.0,12.97637384252808,0.995402140712947,0.39656702777932606,0.07034329722206739,0.7349131967562916,3.310945046298877,11.7,2,red
8.159042679270971,0.415809081829508,1.7504759304879458,5.019037219517834,14.514277914638376,0.9953034321592663,0.36533315134156213,0.06604759304879458,0.8930486849994219,3.219904813902411,11.261898262198647,2,red
6.822583357934597,0.17989278056592103,1.8293907412874355,32.11470378024097,83.17920363263339,0.9918903965017639,0.42240129503889834,0.05546238910209984,0.7641575915538725,3.3471681453053352,13.35340369167642,2,red
5.149743074702162,0.23197804956952706,2.016043900860946,19.802195043047295,49.73260165231757,0.9918320947837551,0.4280219504304729,0.06026739834768243,0.74,3.706095285920514,13.930476429602567,2,red
7.733309442112091,0.2831084034393704,1.849629098713602,34.94807381990428,80.54821716723174,0.9926412395622747,0.37585307295871534,0.06335534849830479,0.7257047124441561,3.2419286866892696,12.908159828300755,2,red
10.409071666080076,0.5245450937390015,2.454535833040038,5.363660417399904,16.0,0.9967308780615541,0.3590915104349976,0.07018183020869996,0.6572732083479981,3.160909812521997,11.272745313049928,2,red
7.816115503256915,0.14962736205058663,2.509501542339899,30.93805438118609,43.71075973944677,0.9946744152519414,0.5345458928347863,0.06709501542339899,0.7593386039082983,3.4422729464173933,12.716115503256916,2,red
8.045604974890937,0.4060914744194247,2.307492718142159,11.54070692090071,24.387609227867614,0.9953657347080985,0.3492507281857841,0.06522478154426477,0.8214985436284318,3.1992507281857843,11.45374635907108,2,red
9.359753031492062,0.44065020209947087,2.089429726282691,5.638212842146636,13.447148631413453,0.9958980458020209,0.39467489895026453,0.06872357431570673,0.6755285136858654,3.2776425684293273,11.446748989502645,2,red
10.487132584979628,0.5260087359683681,2.493566292489815,5.266084268775463,16.0,0.9968567512932797,0.3566521067193866,0.07013304213438773,0.6553216853755093,3.157982528063264,11.199563201581597,2,red
9.663887480952715,0.4828524503846423,1.9741451908425165,12.211007251830797,26.176814885531456,0.9961534870267494,0.33823185114468546,0.07312927404578741,0.7522435572527549,3.083269328241735,10.703419236629934,2,red
10.190985998471625,0.50091348562695,2.469110685321275,4.7091348562695,15.56370228440425,0.9970254809137616,0.34709134856269497,0.06869110685321275,0.7154446573393626,3.16163460574922,10.85456742813475,2,red
8.590127574467758,0.49817727007693974,3.394430084201094,13.678479112721316,35.82531476686339,0.9975055699157989,0.34412657383431694,0.07711898607514754,0.8541265738343169,3.2809872425532243,12.359493037573774,2,red
7.271462054011129,0.30642689729944356,1.9285379459888712,15.714620540111287,27.21344864972178,0.9945306255568706,0.3728537945988871,0.062431584861001595,0.7385613837966614,3.2335731027005563,11.335731027005565,2,red
7.844467038239645,0.2545280414866866,2.8780714971153856,25.551262734467443,41.4426369408284,0.9955618182969008,0.4721725158727809,0.07078071497115386,0.793360445887574,3.4110862579363905,12.744467038239645,2,red
8.328758594347853,0.36909433318789003,2.5153128069409947,7.540615791770158,16.84687193059005,0.9930926711366382,0.51090566681211,0.07508123158354031,0.7092810351413037,3.192343596529503,12.77843105423911,2,red
9.035971466837596,0.4859137227042714,1.8,6.871942933675195,15.487771734700779,0.9946891508158153,0.4025611413264961,0.07061582880102558,0.69,3.227927989285473,12.397554346940156,2,red
9.298420479463593,0.5396840958927186,2.461401598211977,6.3385984017880235,16.661401598211977,0.9957972948448173,0.3338598401788023,0.0769526143839078,0.8421223675887547,3.1703159041072815,11.970878721430418,2,red
5.173083014598399,0.16730513386867235,1.9307667941606403,22.115494262771186,62.80814308028154,0.9913884505737229,0.44423162204377586,0.054461343532851224,0.7676932823357439,3.6438434735767045,14.0,2,red
7.363911064860157,0.3451237996128908,2.374653862537502,15.0,30.873269312687512,0.9953241293533418,0.37297524007742183,0.061151490609890655,0.7834158664085938,3.2580990396903124,11.65123799612891,2,red
5.635945955228941,0.20593146668416387,2.0681370666316723,22.406853331583612,48.86438222280546,0.9922609951819341,0.4540685333158361,0.061135617777194534,0.74,3.660947875585884,13.70473937792942,2,red
11.403595162851394,0.6538159026258218,2.556375908937883,8.290987986029245,31.03643376535933,0.9983436240910621,0.3201821688267966,0.0735273253240195,0.8301821688267966,2.9996404837148605,10.56366266200975,2,red
5.869072030662768,0.09796501416162406,1.6573732467209095,12.350963518255785,82.03362018965164,0.992973240413151,0.7915060802907024,0.04886059870081364,0.8246795135767437,3.535432553722095,12.88830121605814,2,red
10.57722159468265,0.5276979049002997,2.538610797341325,5.153473006646687,16.0,0.9970020198214258,0.35383682516616716,0.07007673650332336,0.6530694601329338,3.1546041901994006,11.115104754985015,2,red
10.609981633664816,0.5283121556312154,2.5549908168324085,5.112522957918979,16.0,0.9970548453842845,0.35281307394797445,0.07005626147895949,0.6522504591583796,3.1533756887375692,11.084392218439234,2,red
10.24847313109236,0.5041984646338493,2.483893090852322,4.7419846463384925,15.61297696950774,0.9970451907878031,0.3474198464633849,0.06883893090852322,0.7080534545738392,3.1603206141464604,10.870992323169247,2,red
10.362916321557504,0.5236796810292033,2.4314581607787527,5.421354598053118,16.0,0.9966564525685114,0.36053386495132794,0.07021067729902657,0.6584270919610624,3.1626406379415934,11.316015948539839,2,red
8.61344139981909,0.3928562974615567,1.8168017497738629,6.0,12.084008748869314,0.9951808341697196,0.4179837900271364,0.06820162099728636,0.6938644024479884,3.3466396500452276,11.7,2,red
5.506330915817477,0.0312661831634954,1.774676336730092,26.98705346920368,87.06330915817477,0.9909012946530796,0.5127912969429173,0.04406330915817477,0.82,3.503798549490486,13.930359926007753,2,red
11.946453528028329,0.6546453528028329,2.3375887309414045,5.656028172646488,24.528366244404353,0.9981840422589697,0.3237588730941404,0.07131205634529297,0.7615247893499031,2.972872393385448,10.212766192824214,2,red
10.7,0.53,2.6,5.0,16.0,0.9972,0.35,0.07,0.65,3.15,11.0,2,red
9.149522918330014,0.42663486122200095,2.0093420641257196,5.73832241984285,13.046710320628598,0.9956938222635207,0.40168256938899954,0.0685233551603143,0.679532896793714,3.2976644839685703,11.516825693889995,2,red
10.308742123121776,0.5226639148085334,2.404371061560888,5.48907234609778,16.0,0.9965690966735339,0.3622268086524445,0.07024453617304889,0.6597814469219556,3.1646721703829335,11.366804259573335,2,red
8.595651251839147,0.45487405937508163,1.7734553290441657,5.938213161766626,15.20365987132497,0.9949863164591904,0.381418730330916,0.06834553290441656,0.7988331509189208,3.215308934191167,11.836383226104141,2,red
